fid,liansai,Lteam,L进,L失,Rteam,R进,R失,time,平均初盘胜,平均即时胜,平均初盘平,平均即时平,平均初盘负,平均即时负,离散初盘胜,离散即时胜,离散初盘平,离散即时平,离散初盘负,离散即时负,初盘胜,初盘平,初盘负,胜,平,负,平均即时大,平均即时盘口,平均即时小,平均初盘大,平均初盘盘口,平均初盘小,最高即时大,最高即时盘口,最高即时小,最高初盘大,最高初盘盘口,最高初盘小,最低即时大,最低即时盘口,最低即时小,最低初盘大,最低初盘盘口,最低初盘小,赛果
1088197,巴西杯,巴拉纳竞技,1.6,0.53,CRB马瑟欧,1.07,1,2023-04-26 08:30,1.29,1.3,4.74,4.77,9.1,8.87,6.73,6.47,33.01,34.69,134.68,128.52,0.92,0.89,0.88,0.92,0.92,0.92,0.81,2.51,0.94,0.79,2.51,0.94,0.61,2.5/3,0.8,0.22,2.5/3,0.63,1.02,2/2.5,1.24,1.05,1.5,2.25,主胜
1043687,西甲,皇家贝蒂斯,1.4,1.6,皇家社会,0.73,0.93,2023-04-26 04:00,3.09,2.87,3.25,3.12,2.32,2.63,33.19,38.15,7.78,9,17.01,36.31,0.98,0.96,0.9,0.95,0.95,0.95,1.09,2.3,0.76,1.22,2.43,0.72,0.65,2.5,0.48,0.59,5.5,0.02,1.36,1.5/2,1.05,10,2,1.1,平局
1039409,英超,利兹联,1.2,2.13,莱切斯特城,1.27,1.67,2023-04-26 03:00,2.2,2.35,3.61,3.54,3.08,2.94,20.56,10.94,12.78,7.56,52.14,13.23,0.91,0.97,0.97,0.95,0.95,0.95,0.94,2.91,0.94,0.92,2.69,0.91,0.57,3.5,0.56,0.73,2.5/3,0.83,1.27,2.5,1.35,1.02,2.5,1.1,平局
1048595,英冠,布莱克本,1.27,1.13,伯恩利,1.4,0.93,2023-04-26 03:00,3.45,3.38,3.28,3.15,2.11,2.2,20.47,17.54,9.14,10.52,8.01,12.16,0.94,0.94,0.93,0.94,0.93,0.94,0.87,2.06,1.34,0.9,2.31,0.93,0.03,2.5,0.53,0.82,2.5,0.68,1.3,0.5,7.5,1.05,2/2.5,1.05,客胜
1039414,英超,阿斯顿维拉,1.73,1.13,富勒姆,1.27,1.27,2023-04-26 02:45,1.76,1.74,3.88,3.82,4.29,4.72,4.55,4.37,14.89,8.17,12.47,22.34,0.94,0.97,0.91,0.95,0.95,0.95,0.94,2.5,0.92,0.84,2.52,1,0.76,2.5,0.83,0.7,2.5/3,0.85,1,2.5,0.96,0.95,2.5,1.1,主胜
1046701,英甲,巴恩斯利,2.53,0.8,伊普斯维奇,2.47,0.4,2023-04-26 02:45,3.44,3.73,3.35,3.33,2.05,1.97,36.16,31.28,8.82,9.3,14.35,9.37,0.9,0.93,0.95,0.93,0.93,0.93,0.88,2.33,0.98,0.97,2.45,0.82,0.3,2.5,0.7,0.72,2.5,0.73,1.07,1.5,2.2,1.1,2/2.5,1.05,客胜
1046709,英甲,牛津联,0.53,1.4,切尔滕汉姆,1.2,1.4,2023-04-26 02:45,1.64,1.52,3.77,3.9,4.99,6.14,6.59,7.48,13.42,15.3,39.76,62.68,0.98,0.9,0.8,0.93,0.93,0.93,0.84,2.3,1.01,0.85,2.5,0.92,0.33,2.5,0.73,0.78,2.5,0.82,1.1,1.5,2.05,0.91,2.5,0.98,主胜
1047246,英乙,曼斯菲尔德,1.8,0.93,莱顿东方,1.47,0.8,2023-04-26 02:45,2.33,1.68,3.12,3.53,3.08,5.4,199.04,158.4,9.11,25.49,75.03,256.5,1.3,0.83,0.53,0.94,0.94,0.94,0.91,2.17,0.95,0.97,2.3,0.84,0.4,2.5,0.57,0.8,2.5,0.61,1.3,1.5,1.6,1.2,2/2.5,0.95,客胜
1039413,英超,狼队,1.07,1.2,水晶宫,0.93,1,2023-04-26 02:30,2.26,2.32,3.25,3.03,3.23,3.47,6.78,6.56,12.9,8.01,18.92,21.56,0.89,0.98,0.98,0.94,0.97,0.95,1.1,2.06,0.82,0.99,2.23,0.86,0.53,2.5,0.44,0.8,2.5,0.52,1.63,1.5,1.45,1.35,2,1.09,主胜
1081203,葡杯,布拉加,2.07,0.93,葡萄牙国民,1,1.93,2023-04-26 02:30,1.13,1.19,7.33,6.26,15.11,11.92,2.97,7.28,97.82,58.66,327.08,162.16,0.89,1.04,1.07,0.94,0.85,0.88,0.93,3.17,0.92,0.87,3.19,0.97,0.44,3.5,0.62,0.44,3.5,0.66,1.15,2.5,1.63,1.1,2.5,1.65,平局
1043688,西甲,加的斯,0.87,1,奥萨苏纳,0.8,1.13,2023-04-26 01:30,2.2,2.24,3.13,3.12,3.47,3.54,17.74,14.64,8.91,5.7,52.93,29.57,0.9,0.96,0.98,0.95,0.95,0.95,0.88,2.01,0.96,0.88,2.05,0.94,0.66,2/2.5,0.66,0.7,2.5,0.54,1.29,1.5/2,1.05,1.41,2,1.05,客胜
1043691,西甲,赫罗纳,1.47,1.27,皇家马德里,2.2,0.67,2023-04-26 01:30,5.33,5.06,4.24,4.23,1.56,1.62,50.17,26.64,23.24,11.41,14.64,6.17,0.93,0.95,0.94,0.95,0.95,0.95,0.78,2.75,1.08,0.82,2.66,1.07,0.48,3/3.5,0.74,0.37,5.5,0.07,1.15,2.5,1.3,6.5,2/2.5,1.38,主胜
1084058,瑞典甲,瓦斯特拉斯,1.87,1,厄勒布鲁,1.33,1.13,2023-04-26 01:00,1.88,1.86,3.44,3.47,3.8,3.92,28.92,10.12,12.32,11.48,65.32,30.81,0.94,0.92,0.9,0.92,0.92,0.92,0.89,2.5,0.92,0.89,2.5,0.9,0.78,2.5,0.8,0.79,2.5,0.8,0.96,2.5,0.98,0.95,2.5,0.99,主胜
1089789,丹麦杯,施克堡,1.53,1.6,奥尔堡,1.4,1.6,2023-04-26 01:00,1.96,2.21,3.45,3.35,3.45,3,16.53,17.02,12.62,11.2,70.23,25.43,0.82,0.95,1.06,0.92,0.92,0.92,0.83,2.5,0.94,0.79,2.49,0.99,0.58,2.5,0.85,0.22,2.5/3,0.77,0.98,2/2.5,1.28,1.02,1.5,2.8,平局
1078438,K1联赛,仁川联合,0.93,1.47,蔚山现代,1.53,1.13,2023-04-25 18:30,3.62,4.3,3.28,3.62,1.97,1.74,42.69,48.47,11.57,20.92,12.76,17.47,0.9,0.91,0.93,0.95,0.91,0.93,0.85,2.51,0.91,1.04,2.49,0.75,0.68,2.5/3,0.62,0.71,3.5,0.17,1.16,2/2.5,1.05,2.45,2/2.5,1.02,客胜
1078439,K1联赛,浦项制铁,1.4,1.07,水原三星,1.27,1.4,2023-04-25 18:30,1.85,1.71,3.26,3.58,4.11,4.5,8.05,13.95,11.15,15.98,28.17,26.52,0.95,0.89,0.88,0.93,0.89,0.92,0.9,2.47,0.86,1.19,2.51,0.88,0.5,2.5,0.6,0.01,8.5,0.17,1.05,2,1.18,3.5,0.5,7.14,主胜
1072389,智甲,奴伯伦斯,1.2,1.4,奥达科斯意大利人,1.4,1.4,2023-04-25 08:30,2.03,2.11,3.43,3.28,3.22,3.23,21.94,8.97,18.64,12.45,71.74,28.71,0.86,0.96,0.96,0.92,0.92,0.92,0.88,2.44,0.96,0.86,2.63,0.93,0.27,2.5,0.78,0.7,2.5/3,0.77,0.98,1.5,2.2,1.03,2.5,1.05,客胜
1073073,阿甲,阿根廷青年人,1.33,0.53,拉普拉塔体操,0.73,1.6,2023-04-25 08:30,1.48,1.38,3.98,4.47,6.52,7.81,26.91,7.93,24.1,24.49,64.21,122.39,1,0.84,0.74,0.93,0.93,0.93,0.82,2.44,1.05,0.98,2.31,0.84,0.25,2.5,0.85,0.78,2.5,0.6,0.92,1.5,2.4,1.25,2/2.5,1.08,客胜
1073082,阿甲,竞技俱乐部,1.53,1.07,图库曼竞技,0.67,1.27,2023-04-25 06:00,1.71,1.75,3.49,3.52,4.69,4.55,8.07,9.8,12.44,12.59,35.97,64.17,0.91,0.92,0.96,0.93,0.93,0.93,0.94,2.38,0.92,1.02,2.33,0.8,0.3,2.5,0.7,0.81,2.5,0.6,1.11,1.5,2,1.25,2/2.5,0.96,客胜
1050459,葡超,吉马良斯,1,1.33,里斯本竞技,1.8,0.93,2023-04-25 03:15,4.82,7.27,3.68,4.38,1.71,1.43,139.91,104.21,40.9,21.6,123.11,11.08,0.7,0.8,1.08,0.94,0.94,0.94,0.86,2.58,0.97,0.93,2.45,0.88,0.68,2.5/3,0.81,0.68,2.5/3,0.67,1.04,2.5,1.11,1.1,2/2.5,1.05,客胜
1081973,冰岛超,费基尔,2.27,1.27,哈夫纳夫约杜尔,2.27,1.93,2023-04-25 03:15,3.21,2.86,3.77,3.52,1.92,2.21,41.08,28.43,15.19,25.17,14.2,22.5,1.04,0.97,0.8,0.92,0.92,0.92,0.91,2.79,0.95,0.88,3.16,0.97,0.6,3.5,0.43,0.44,3.5,0.65,1.5,2.5,1.25,1.05,2.5,1.63,主胜
1048674,英冠,卢顿,1.13,0.73,米德尔斯堡,2.67,1.13,2023-04-25 03:00,2.19,2.18,3.32,3.31,3.11,3.25,18.42,14.73,12.79,8.52,32.47,37.73,0.88,0.93,0.99,0.94,0.93,0.94,0.93,2.28,0.94,1.01,2.48,0.81,0.33,2.5,0.61,0.83,2.5,0.7,1.2,1.5,2.05,1.08,2/2.5,1.06,主胜
1044520,意甲,亚特兰大,1.8,1.33,罗马,1.33,0.73,2023-04-25 02:45,2.29,2.46,3.3,3.18,3.09,3.04,9.46,16.64,11.41,8.95,12.79,19,0.93,0.97,0.93,0.95,0.95,0.95,1.05,2.31,0.82,0.96,2.41,0.87,0.9,2.5,0.57,0.72,2.5,0.62,1.25,2/2.5,0.92,1.15,2/2.5,1.06,主胜
1057675,法乙,波尔多,1.4,1.13,格勒诺布尔,0.87,0.8,2023-04-25 02:45,1.72,1.61,3.44,3.73,4.76,5.46,11.25,8.69,12.71,16.51,27.25,51.73,1,0.87,0.8,0.94,0.93,0.93,0.96,2.45,0.86,1.05,2.31,0.77,0.76,2.5,0.73,0.8,2.5,0.53,1.05,2/2.5,1.13,1.35,2/2.5,0.96,主胜
1073075,阿甲,巴拉卡斯中央队,1,1.33,防御与正义,1.4,0.93,2023-04-25 02:30,3.1,3.16,3.15,3.19,2.26,2.25,35.77,29.06,13.49,11.91,15.05,14.83,0.96,0.93,0.9,0.93,0.93,0.93,0.91,2.31,0.95,1.07,2.31,0.76,0.33,2.5,0.62,0.89,2.5,0.55,1.2,1.5,1.9,1.3,2/2.5,0.9,客胜
